key,enabled,identity,password,username
user-account-anonymous-01,false,"UserIdentity{name: 'John', surname: 'Doe', email: 'john.doe@acme.com'}",HIDDEN-PASSWORD,anonymous
user-account-administrator-01,true,"UserIdentity{name: 'Administrator', surname: 'Acme', email: 'administrator@acme.com'}",administrator,administrator
user-account-01,true,"UserIdentity{name: 'UserName1', surname: 'UserSurname1', email: 'user1@acme.com'}",HIDDEN-PASSWORD,user1
user-account-02,true,"UserIdentity{name: 'UserName2', surname: 'UserSurname2', email: 'user2@acme.com'}",HIDDEN-PASSWORD,user2
user-account-03,true,"UserIdentity{name: 'UserName3', surname: 'UserSurname3', email: 'user3@acme.com'}",HIDDEN-PASSWORD,user3
user-account-04,true,"UserIdentity{name: 'UserName4', surname: 'UserSurname4', email: 'user4@acme.com'}",HIDDEN-PASSWORD,user4
user-account-05,true,"UserIdentity{name: 'UserName5', surname: 'UserSurname5', email: 'user5@acme.com'}",HIDDEN-PASSWORD,user5
user-account-06,true,"UserIdentity{name: 'UserName6', surname: 'UserSurname6', email: 'user6@acme.com'}",HIDDEN-PASSWORD,user6
user-account-07,true,"UserIdentity{name: 'UserName7', surname: 'UserSurname7', email: 'user7@acme.com'}",HIDDEN-PASSWORD,user7
user-account-08,true,"UserIdentity{name: 'UserName8', surname: 'UserSurname8', email: 'user8@acme.com'}",HIDDEN-PASSWORD,user8
user-account-09,true,"UserIdentity{name: 'UserName9', surname: 'UserSurname9', email: 'user9@acme.com'}",HIDDEN-PASSWORD,user9
user-account-10,true,"UserIdentity{name: 'UserName10', surname: 'UserSurname10', email: 'user10@acme.com'}",HIDDEN-PASSWORD,user10
